country,introduction,flag
 沙特,作为32强中目前世界排名最低的球队，沙特阿拉伯的实力即便在分组相对有利的A组中也无优势可言。球队在世预赛中更换了4位主教练，现任西班牙人皮齐去年11月份接手时沙特已获得出线权，此前并无亚洲执教经验，只能带队参加热身赛的他并没有充足时间来了解球队。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/4/1528116578256_377.jpg
 乌拉圭,乌拉圭老帅塔巴雷斯将第三次带领球队参加世界杯，阵容多数还是以四年前的老将压阵，但托雷亚、本坦库尔、戈麦斯等年轻才俊在过去的赛季中在五大联赛里的表现，已经充分证明自己有向主力位置发起冲击的能力，球队目前经验丰富但不乏新生力量补充。相对轻松的小组分组也比较利于球队通过三场比赛来磨合调试阵容和状态。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/4/1528123186173_973.jpg
 埃及,自1990年后再次出现在世界杯舞台，埃及的目标至少是要拿到在世界杯上的首胜。以萨拉赫领衔的球队上下非常团结，球队在预选赛中体现出的良好的组织和防守能力，相对来说进球则过度依赖利物浦前锋，预选赛决赛阶段的8个入球中他一人包办5球，在萨拉赫受伤状态恢复未定的情况下，球队名单中甚至没有一名球员代表国家队进球超过10个。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/4/1528116739282_443.jpg
 日本,日本以亚洲区B组头名顺利出线，连续第6次晋级世界杯正赛。主教练西野朗上任后虽然还没有经过比赛的考验，但召回名将冈崎慎司还是得到了很多人的认可，大部分主力阵容都还是效力于海外的球员，其中本赛季状态大好的乾贵士被本土球迷寄予厚望。历史上面对同组的哥伦比亚和塞内加尔都未取得过胜利，但仍具备小组出线实力。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528290701964_934.jpg
 俄罗斯,俄罗斯贵为东道主和种子队，小组赛的分组非常理想，但进入2018年却噩耗不断。后防线上绝对主力日基亚和瓦辛先后受伤，锋线上现役国脚进球最多的科科林也因伤缺席。3月份两场热身赛大比分负于巴西和法国更是为东道主首次在世界杯小组赛出线的前景蒙上一层阴影。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/4/1528115595610_284.jpg
 哥伦比亚,哥伦比亚已南美区第4名的身份出线，是他们连续第二届打进世界杯正赛。主教练阿根廷人佩克尔曼上届世界杯第一次带队便闯入八强，目前阵中多数主力球员都是欧洲顶级联赛的佼佼者，进攻线上也是回归了上届因伤错过的锋霸法尔考，与波兰、塞内加尔和日本在同一组的哥伦比亚力求突破八强，创造新的历史。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528291443957_1.jpg
 塞内加尔,塞内加尔虽然以非洲区D组头名身份出线，但也碰上了罕见的重赛，出线之路并非一帆风顺。球队中前场的主力球员大部分来自英超，而领衔后防的是来自那不勒斯的库利巴利。历史上第二次打进世界杯，本土主帅希塞功不可没，留着一头雷鬼脏辫的他是塞内加尔国家队的精神支柱，他所带来的凝聚力让这支球队不容小觑。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528291723683_934.jpg
 英格兰,英格兰近年青训成果显著，体现在本届名单上球队平均年龄不足26岁，八零后球员仅有4人入选，其中11名球员没有世界杯和欧洲杯经验。主教练索斯盖特尽管带队在预选赛表现优异，但本身执教经验不足，近一年演练的352阵型也非英格兰球员传统所长。23人名单在中场人员储备略显不足，锋线上则极度依赖凯恩的发挥。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528294763745_708.jpg
 波兰,波兰以欧洲区E组头名身份时隔两届强势重返世界杯正赛，之前7次世界杯的最好成绩是获得了季军。主力阵容主要由欧洲顶级联赛的球员构成，除过像拜仁慕尼黑、尤文图斯这种豪门球队的绝对主力，也不缺乏多特蒙德、罗马、那不勒斯这种一流强队中坚力量，手握一副好牌，主教练纳瓦乌卡有信心带领球队走的更远。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528292714246_243.jpg
 突尼斯,预选赛中突尼斯分到一个相对容易的小组，以4胜2平不败战绩出线。但预选赛打入5球的头号射手姆博卡尼的受伤给球队在世界杯上的前景蒙上一层阴影。作为第一支在世界杯上获胜的非洲球队，距离上一场胜利已经过去40年，此前4次参赛也没能够小组出线。本届前两场挑战英格兰和比利时，一旦能够拿到分数，最后一轮对阵巴拿马将是球队创造历史的最好机会。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528294978209_751.jpg
 比利时,这批比利时球员被称为“黄金一代”，但过往两届大赛并未打出匹配身价的表现。球队的后防线和锋线上拥有世界顶级配备，但中场防守能力是明显的短板。主教练马丁内斯早早将球队的343打法昭告天下，也意味着两名中场维特塞尔和德布劳内的发挥将对球队前景起到决定性作用。如果无法突破八强的成绩，对于群星闪烁的比利时就意味着失败。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528295438159_421.jpg
 巴拿马,巴拿马在预选赛的出线经历非常惊险，前7轮只拿到一场胜利，但最后一轮力克哥斯达黎加后以北美区第三名的成绩直接出线。尽管首次参加世界杯，但球队并不乏国际比赛经验。名单中球员平均为国出战超过40场，且有多名在美职联效力的球员。和同组三名对手从无交手经历也让球队处在暗处，“运河之子”尽可以对世界杯前景充满期待。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528295251425_91.jpg
 瑞典,瑞典队在预选赛中经过两回合附加赛淘汰意大利出线，球队也时隔12年重回世界杯。在缺少伊布之后，瑞典的攻击力较为令人担心，与德国、韩国、墨西哥分在同一组的他们将首先争取闯入16强。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528295985774_599.jpg
 韩国,韩国队在亚洲区预选赛中表现磕磕绊绊，主帅施蒂利克也在12强赛期间离职，新帅申台龙还在进一步试验球队的主力阵容，球队在开赛前好遭遇了一定的伤病麻烦，本届比赛对球队来说挑战不小。太极虎与德国、墨西哥、瑞典分在同一小组，对阵德国前的两场比赛将十分重要。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528295752969_582.jpg
 墨西哥,墨西哥在预选赛中以5胜2平的战绩提前3轮出线，第16次进军世界杯。尽管球队中的诸多优秀球员年龄渐长，但他们在世界杯中的经验无疑非常丰富，本届比赛中他们与德国、韩国和瑞典分在同一小组，对于墨西哥来说，力争连续第7次闯入十六强是球队的主要目标。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528296174395_426.jpg
 德国,德意志战车预选赛中可谓顺风顺水，他们以10战全胜的成绩晋级。队中兵强马壮，中后场名将如云，但诺伊尔能够顺利复出还有待观察。对于主帅勒夫和众将士而言，他们本届比赛的唯一目标就是顺利卫冕，但要想实现这个目标绝不简单。德国队本届比赛与墨西哥、韩国、瑞典分在同一小组。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/5/25/1527229805702_502.png
 巴西,巴西队在南美区预选赛中表现出色，提前四轮出线，成为东道主俄罗斯之外第一支进军世界杯的球队。主教练蒂特早早就公布了23人大名单，球队阵容稳定，各条战线都有世界级球星坐镇，是本届比赛中的夺冠大热门之一。巴西与哥斯达黎加、塞尔维亚、瑞士同组，目标无疑是赢得冠军。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528297115612_775.jpg
 塞尔维亚,塞尔维亚在欧洲区预选赛中顺利以小组头名出线，球队中拥有众多身体素质出众的东欧球员，但球队在进攻端创造力稍显不足，不过相信拥有坚强意志的塞尔维亚人会力争取得最好的成绩。塞尔维亚本届比赛与巴西、哥斯达黎加和瑞士同分在E组。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528296615186_463.jpg
 尼日利亚,尼日利亚队非洲区20强赛中，与实力不俗的赞比亚、喀麦隆、阿尔及利亚同组取得了4胜1平1负的战绩，以小组头名身份成功拿到世界杯入场券。德国人勒尔于2016年成为尼日利亚主帅，此前有过多次执教非洲球队经历。“非洲雄鹰”向来不缺球星，老将米克尔坐镇中场，攻击线上则有切尔西飞翼摩西、阿森纳小将伊沃比和效力中超长春亚泰的锋霸伊哈洛。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528253644073_909.jpg
 克罗地亚,本届世预赛上，与冰岛同组的克罗地亚最终位列小组第二，通过在附加赛淘汰希腊才得以拿到世界杯入场券，小组赛克罗地亚将与冰岛再次相遇。主帅达利奇于2017年10月上任，这是他首次执教一支国家队。本届名单中球员遍布欧洲五大联赛豪门，莫德里奇是当今足坛最出色的中场之一，而效力于巴萨的拉基蒂奇则与前者组成了球队中场双核。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528253409287_708.jpg
 哥斯达黎加,哥斯达黎加在本届世界杯预选赛中提前获得出线权，球队得以第5次进军世界杯。擅长防守反击的他们拥有值得信赖的后防线，与巴西、塞尔维亚、瑞士同组的哥斯达黎加将力争从小组中出线。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528296795230_345.jpg
 阿根廷,阿根廷在本届世预赛上遇到了很大的麻烦，最后一轮凭借梅西的帽子戏法才惊险拿到2018世界杯入场券。阿根廷人桑保利去年6月成为了阿根廷队的新主帅，此前他曾率智利获得过美洲杯冠军。相对于拥有梅西、伊瓜因、阿奎罗的豪华锋线，后防线的经验令人担忧，主力门将罗梅罗因伤无缘世界杯后三名门将仅有不超过10场的国家队出场记录。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528252914637_108.jpg
 丹麦,丹麦在欧洲区预选赛中通过附加赛击败爱尔兰才艰难晋级，8年之后再次踏上世界杯赛场。挪威教头哈雷德自16年上任后重要海外兵团，本次名单中在英格兰联赛效力的球员多达8人。相对来说，丹麦的阵容较为年轻，经历过10年世界杯的球员只有两名。丹麦作为第三档球队同法国、秘鲁、澳大利亚被分到C组。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528252486841_150.jpg
 瑞士,瑞士在欧洲区预选赛中取得9胜1负的佳绩，但却因净胜球差距屈居第二名，但他们还是通过附加赛击败北爱尔兰出线。球队防线上有经验丰富的老将，前场阵容也相对稳定，主帅佩特科维奇长期执教球队，这都是非常有利的因素。与巴西、哥斯达黎加、塞尔维亚分在同一小组的他们将力争小组出线。,http://p1.img.cctvpic.com/photoAlbum/page/performance/img/2018/6/6/1528296947947_164.jpg
